(1,1,0,1,0.0)
(1,2,0,2,0.0)
(1,3,0,3,0.0)
(1,4,0,4,0.0)
(1,5,0,5,0.0)
(1,6,0,6,0.0)
(1,7,0,7,0.0)
(2,1,0,2,0.0)
(2,2,0,4,0.0)
(2,3,0,6,0.0)
(2,4,0,8,0.0)
(2,5,0,10,0.0)
(2,6,0,12,0.0)
(2,7,0,14,0.0)
(3,1,0,5,0.0)
(3,2,0,14,0.0)
(3,3,0,27,0.0)
(3,4,0,44,0.0)
(3,5,0,65,0.0)
(3,6,0,90,0.0)
(3,7,0,119,0.0)
(4,1,2,14,0.14285715)
(4,2,4,48,8.3333336e-2)
(4,3,6,102,5.882353e-2)
(4,4,8,176,4.5454547e-2)
(4,5,10,270,3.7037037e-2)
(4,6,12,384,3.125e-2)
(4,7,14,518,2.7027028e-2)
(5,1,6,43,0.13953489)
(5,2,12,194,6.185567e-2)
(5,3,18,501,3.5928145e-2)
(5,4,24,1012,2.3715414e-2)
(5,5,30,1775,1.690141e-2)
(5,6,36,2838,1.268499e-2)
(5,7,42,4249,9.884679e-3)
(6,1,28,140,0.2)
(6,2,88,804,0.10945274)
(6,3,180,2376,7.575758e-2)
(6,4,304,5240,5.801527e-2)
(6,5,460,9780,4.7034767e-2)
(6,6,648,16380,3.956044e-2)
(6,7,868,25424,3.414097e-2)
(7,1,92,475,0.1936842)
(7,2,352,3518,0.10005685)
(7,3,780,12297,6.343011e-2)
(7,4,1376,30940,4.4473175e-2)
(7,5,2140,64535,3.31603e-2)
(7,6,3072,119130,2.5786955e-2)
(7,7,4172,201733,2.06808e-2)
(8,1,352,1660,0.21204819)
(8,2,1912,15744,0.12144309)
(8,3,5352,63852,8.381883e-2)
(8,4,11344,178144,6.367882e-2)
(8,5,20560,401340,5.1228385e-2)
(8,6,33672,786720,4.280049e-2)
(8,7,51352,1398124,3.6729217e-2)
(9,1,1256,5933,0.21169728)
(9,2,8720,72226,0.12073214)
(9,3,27576,343359,8.0312446e-2)
(9,4,63008,1080932,5.8290437e-2)
(9,5,120200,2690545,4.4674963e-2)
(9,6,204336,5748678,3.554487e-2)
(9,7,320600,11029571,2.9067313e-2)
(10,1,4716,21582,0.21851543)
(10,2,43856,336740,0.13023698)
(10,3,168204,1865730,9.015452e-2)
(10,4,446976,6556008,6.817807e-2)
(10,5,967820,17758550,5.4498818e-2)
(10,6,1836816,40604172,4.5237124e-2)
(10,7,3178476,82379850,3.8583174e-2)
